Position ID,Action,Amount,Units,Open Date,Close Date,Leverage,Spread,Profit,Open Rate,Close Rate,Take profit rate,Stop lose rate,Rollover Fees and Dividends,Copied From,Type,ISIN,Notes
2316603954,Buy Cedar Fair LP, 1.05 ,0.025399,04/11/2022 13:30:40,13/12/2022 15:07:17,1, 0.00 ,(0.02), 41.34 , 40.54 , 471.06 , 0.00 , 0.00 ,jaynemesis,Stocks,US1501851067,
2316630959,Buy Sunrun Inc., 1.15 ,0.043793,04/11/2022 13:31:50,08/12/2022 15:42:58,1, 0.00 , 0.13 , 26.26 , 29.19 , 289.19 , 0.00 , 0.00 ,jaynemesis,Stocks,US86771W1053,
2316602672,Buy Microsoft, 1.26 ,0.005796,04/11/2022 13:30:37,07/12/2022 16:54:52,1, 0.00 , 0.15 , 217.39 , 243.79 ," 3,144.02 ", 0.00 , 0.00 ,jaynemesis,Stocks,US5949181045,
2316616186,Buy Corsair Gaming Inc, 1.26 ,0.092375,04/11/2022 13:31:07,06/12/2022 15:21:21,1, 0.00 , 0.26 , 13.64 , 16.43 , 288.60 , 0.00 , 0.00 ,jaynemesis,Stocks,US22041X1028,
2316441532,Buy Vestas Wind Systems A/S, 1.26 ,0.060447,04/11/2022 11:18:54,06/12/2022 15:17:47,1, 0.00 , 0.24 , 158.26 , 186.06 ," 2,807.04 ", 0.05 , 0.00 ,jaynemesis,CFD,,
2316616064,Buy Corsair Gaming Inc, 1.26 ,0.092375,04/11/2022 13:31:06,05/12/2022 14:52:18,1, 0.00 , 0.33 , 13.64 , 17.21 , 284.90 , 0.00 , 0.00 ,jaynemesis,Stocks,US22041X1028,
2316441515,Buy Vestas Wind Systems A/S, 1.26 ,0.060447,04/11/2022 11:18:54,05/12/2022 14:50:28,1, 0.00 , 0.28 , 158.26 , 190.57 ," 2,820.23 ", 0.05 , 0.00 ,jaynemesis,CFD,,
2326240907,Buy ProShares UltraPro Short S&P 500, 1.05 ,0.065815,17/11/2022 19:22:43,01/12/2022 14:46:12,1, 0.00 ,(0.13), 15.95 , 14.05 , 175.49 , 0.00 , 0.00 ,jaynemesis,CFD,,
2330793603,Buy ProShares UltraPro Short Russell2000, 1.05 ,0.021484,29/11/2022 20:55:07,01/12/2022 14:45:51,1, 0.00 ,(0.10), 48.87 , 44.17 , 537.49 , 0.00 , 0.00 ,jaynemesis,CFD,,
2316441546,Buy Orsted A/S, 1.26 ,0.015126,04/11/2022 11:18:54,30/11/2022 14:16:07,1, 0.00 ,(0.03), 632.45 , 618.77 ," 9,982.10 ", 0.18 , 0.00 ,jaynemesis,CFD,,
2316441518,Buy Siemens Aktiengesellschaft, 1.26 ,0.011503,04/11/2022 11:18:54,30/11/2022 14:15:02,1, 0.00 , 0.26 , 111.72 , 133.32 ," 1,281.57 ", 0.01 , 0.00 ,jaynemesis,Stocks,DE0007236101,
